Timestamp,Last,LastSize,TotalVolume,Bid,Ask,TickId,BasisForLast,TradeMarketCenter,TradeConditions
13:06.4,1.72,1,1,1.66,1.76,41913977,C,13,45
13:06.4,1.55,2,3,1.55,1.59,62384783,C,156,1
13:06.4,1.55,2,5,1.5,1.55,63161255,C,17,20
Timestamp,Last,LastSize,TotalVolume,Bid,Ask,TickId,BasisForLast,TradeMarketCenter,TradeConditions
37:27.5,0.54,1,1,0.1,1,3058525,C,13,45
37:27.5,0.54,1,2,0.1,1,3058525,O,13,45
37:27.5,0.8,29,31,0.4,0.85,77148452,C,17,27
Timestamp,Last,LastSize,TotalVolume,Bid,Ask,TickId,BasisForLast,TradeMarketCenter,TradeConditions
46:52.1,0.53,1,1,0.5,0.55,63857359,C,9,1
47:50.2,0.55,3,4,0.5,0.55,64031460,C,156,3D
47:21.7,0.5,1,5,0.5,0.55,74611017,C,11,20
Timestamp,Last,LastSize,TotalVolume,Bid,Ask,TickId,BasisForLast,TradeMarketCenter,TradeConditions
29:35.5,1.75,1,1,1.7,1.75,20621700,C,17,20
Timestamp,Last,LastSize,TotalVolume,Bid,Ask,TickId,BasisForLast,TradeMarketCenter,TradeConditions
37:24.3,0.3,10,10,0.15,0.45,3672704,C,9,20
Timestamp,Last,LastSize,TotalVolume,Bid,Ask,TickId,BasisForLast,TradeMarketCenter,TradeConditions
29:28.3,0.35,22,22,0.25,0.35,20585047,C,88,3D
29:28.3,0.35,8,30,0.25,0.35,20585048,C,88,3D
29:28.3,0.35,3,33,0.25,0.35,20585048,C,88,3D
29:28.3,0.35,1,34,0.25,0.35,20585049,C,88,3D
29:28.3,0.35,1,35,0.25,0.35,20585050,C,88,3D
29:47.4,0.3,5,40,0.25,0.35,20671899,C,9,3D
